goos: darwin
goarch: arm64
pkg: github.com/h0rn3t/gopolars/bench/cross
cpu: Apple M4 Pro
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  547700	      2159 ns/op	3705.03 MB/s	    3352 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  565040	      2153 ns/op	3715.31 MB/s	    3352 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  565513	      2146 ns/op	3728.43 MB/s	    3352 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  567290	      2155 ns/op	3711.97 MB/s	    3352 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  567483	      2137 ns/op	3743.40 MB/s	    3352 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  534146	      2124 ns/op	3765.83 MB/s	    3352 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  569613	      2172 ns/op	3684.04 MB/s	    3352 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  568142	      2196 ns/op	3642.91 MB/s	    3352 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  561558	      2161 ns/op	3702.56 MB/s	    3352 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  568722	      2135 ns/op	3747.48 MB/s	    3352 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   78675	     15380 ns/op	5201.59 MB/s	   21784 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   78464	     15273 ns/op	5238.13 MB/s	   21784 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   79464	     15176 ns/op	5271.46 MB/s	   21784 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   78962	     15120 ns/op	5290.92 MB/s	   21784 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   78673	     15268 ns/op	5239.76 MB/s	   21784 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   80551	     15347 ns/op	5212.72 MB/s	   21784 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   77744	     16213 ns/op	4934.27 MB/s	   21784 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   75436	     15630 ns/op	5118.48 MB/s	   21784 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   78394	     15593 ns/op	5130.38 MB/s	   21784 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   76171	     15455 ns/op	5176.19 MB/s	   21784 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	   15626	     75625 ns/op	10578.56 MB/s	  235240 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	   15079	     80451 ns/op	9943.92 MB/s	  235240 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	   14884	     78703 ns/op	10164.79 MB/s	  235240 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	   15326	     76381 ns/op	10473.78 MB/s	  235240 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	   15645	     78484 ns/op	10193.19 MB/s	  235240 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	   15343	     76406 ns/op	10470.39 MB/s	  235240 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	   15483	     76400 ns/op	10471.26 MB/s	  235240 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	   15518	     78199 ns/op	10230.26 MB/s	  235240 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	   15704	     75553 ns/op	10588.57 MB/s	  235240 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	   15777	     75386 ns/op	10612.05 MB/s	  235240 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	    3808	    323262 ns/op	24747.75 MB/s	 2170602 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	    3742	    327420 ns/op	24433.41 MB/s	 2170603 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	    3764	    322759 ns/op	24786.27 MB/s	 2170601 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	    3874	    330691 ns/op	24191.79 MB/s	 2170602 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	    3770	    334805 ns/op	23894.48 MB/s	 2170602 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	    3487	    330035 ns/op	24239.85 MB/s	 2170602 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	    3814	    367410 ns/op	21774.02 MB/s	 2170602 B/op	      85 allocs/op
