goos: darwin
goarch: arm64
pkg: github.com/h0rn3t/gopolars/bench/cross
cpu: Apple M4 Pro
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  315532	      3660 ns/op	2185.85 MB/s	   13208 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  298471	      3609 ns/op	2216.88 MB/s	   13208 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  323215	      3526 ns/op	2268.82 MB/s	   13208 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  330463	      3576 ns/op	2237.23 MB/s	   13208 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  329475	      3608 ns/op	2217.15 MB/s	   13208 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  340185	      3558 ns/op	2248.76 MB/s	   13208 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  331029	      3607 ns/op	2218.05 MB/s	   13208 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  350043	      3644 ns/op	2195.68 MB/s	   13208 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  340135	      3591 ns/op	2227.73 MB/s	   13208 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  345398	      3551 ns/op	2253.09 MB/s	   13208 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   42210	     28461 ns/op	2810.89 MB/s	  123800 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   42511	     28565 ns/op	2800.64 MB/s	  123800 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   41628	     29186 ns/op	2741.07 MB/s	  123800 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   41559	     28741 ns/op	2783.50 MB/s	  123800 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   42139	     28746 ns/op	2783.01 MB/s	  123800 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   42433	     28647 ns/op	2792.61 MB/s	  123800 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   42457	     28435 ns/op	2813.39 MB/s	  123800 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   42386	     28411 ns/op	2815.81 MB/s	  123800 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   42844	     28245 ns/op	2832.34 MB/s	  123800 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   41400	     28369 ns/op	2819.95 MB/s	  123800 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	    4776	    250244 ns/op	3196.88 MB/s	 1229720 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	    4863	    247908 ns/op	3227.00 MB/s	 1229720 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	    4687	    251603 ns/op	3179.62 MB/s	 1229720 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	    4671	    253412 ns/op	3156.91 MB/s	 1229720 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	    4819	    245667 ns/op	3256.44 MB/s	 1229720 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	    4846	    251212 ns/op	3184.56 MB/s	 1229720 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	    4844	    250015 ns/op	3199.81 MB/s	 1229721 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	    4669	    251242 ns/op	3184.18 MB/s	 1229720 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	    4800	    252362 ns/op	3170.05 MB/s	 1229720 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	    4864	    250063 ns/op	3199.19 MB/s	 1229720 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	     592	   2063801 ns/op	3876.34 MB/s	12034968 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	     583	   2058374 ns/op	3886.56 MB/s	12034968 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	     572	   2044445 ns/op	3913.04 MB/s	12034968 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	     585	   2040830 ns/op	3919.97 MB/s	12034969 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	     585	   2079797 ns/op	3846.53 MB/s	12034968 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	     582	   2055689 ns/op	3891.64 MB/s	12034968 B/op	      13 allocs/op
