goos: darwin
goarch: arm64
pkg: github.com/h0rn3t/gopolars/bench/cross
cpu: Apple M4 Pro
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  480040	      2138 ns/op	3742.58 MB/s	    3352 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  572085	      2133 ns/op	3750.90 MB/s	    3352 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  570636	      2124 ns/op	3766.89 MB/s	    3352 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  575594	      2123 ns/op	3768.55 MB/s	    3352 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  570000	      2125 ns/op	3765.08 MB/s	    3352 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  565512	      2147 ns/op	3726.91 MB/s	    3352 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  566113	      2164 ns/op	3696.24 MB/s	    3352 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  553482	      2147 ns/op	3726.04 MB/s	    3352 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  549792	      2147 ns/op	3726.61 MB/s	    3352 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  563355	      2139 ns/op	3739.37 MB/s	    3352 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   74570	     15353 ns/op	5210.57 MB/s	   21784 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   79482	     15441 ns/op	5180.88 MB/s	   21784 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   77076	     15495 ns/op	5162.80 MB/s	   21784 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   78151	     15339 ns/op	5215.53 MB/s	   21784 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   79093	     15491 ns/op	5164.26 MB/s	   21784 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   76063	     15428 ns/op	5185.24 MB/s	   21784 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   75975	     15269 ns/op	5239.49 MB/s	   21784 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   78621	     15400 ns/op	5194.92 MB/s	   21784 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   78489	     15351 ns/op	5211.51 MB/s	   21784 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   75772	     15550 ns/op	5144.75 MB/s	   21784 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	   16220	     75230 ns/op	10634.02 MB/s	  235241 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	   15054	     75417 ns/op	10607.65 MB/s	  235241 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	   16096	     75653 ns/op	10574.56 MB/s	  235240 B/op	      85 allocs/op
