goos: darwin
goarch: arm64
pkg: github.com/h0rn3t/gopolars/pkg/simd
cpu: Apple M4 Pro
BenchmarkReductions/Sum/1M-12         	   12636	     94878 ns/op	84318.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/1M-12         	   12678	     94473 ns/op	84680.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/1M-12         	   12704	     94324 ns/op	84814.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/1M-12         	   12702	     94346 ns/op	84793.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/1M-12         	   12582	     95321 ns/op	83926.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/1M-12         	   10000	    106081 ns/op	75414.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/1M-12         	   12741	     94282 ns/op	84851.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/1M-12         	   12429	     96210 ns/op	83151.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/1M-12         	   12702	     94834 ns/op	84357.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/1M-12         	   12740	     94188 ns/op	84936.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/1M-12         	    4237	    280511 ns/op	28519.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/1M-12         	    4364	    280653 ns/op	28504.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/1M-12         	    4372	    276735 ns/op	28908.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/1M-12         	    4365	    276702 ns/op	28912.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/1M-12         	    4398	    276354 ns/op	28948.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/1M-12         	    4372	    281186 ns/op	28450.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/1M-12         	    4357	    278007 ns/op	28776.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/1M-12         	    4370	    279328 ns/op	28640.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/1M-12         	    4222	    282859 ns/op	28282.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/1M-12         	    4311	    283020 ns/op	28266.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/1M-12         	    4300	    280779 ns/op	28492.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/1M-12         	    4292	    281038 ns/op	28465.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/1M-12         	    4298	    286296 ns/op	27943.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/1M-12         	    4266	    280951 ns/op	28474.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/1M-12         	    4220	    279469 ns/op	28625.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/1M-12         	    4302	    289045 ns/op	27677.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/1M-12         	    4336	    281374 ns/op	28431.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/1M-12         	    4183	    282375 ns/op	28331.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/1M-12         	    4202	    279743 ns/op	28597.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/1M-12         	    4279	    278843 ns/op	28689.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/1M-12      	    3945	    304204 ns/op	26298.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/1M-12      	    3957	    310950 ns/op	25727.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/1M-12      	    3974	    309732 ns/op	25828.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/1M-12      	    3873	    307443 ns/op	26021.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/1M-12      	    3700	    309042 ns/op	25886.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/1M-12      	    3837	    309710 ns/op	25830.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/1M-12      	    3932	    311728 ns/op	25663.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/1M-12      	    3901	    307902 ns/op	25982.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/1M-12      	    3987	    307802 ns/op	25990.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/1M-12      	    4030	    306829 ns/op	26073.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/10M-12        	    1076	   1028265 ns/op	77800.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/10M-12        	    1196	   1001509 ns/op	79879.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/10M-12        	    1179	   1022242 ns/op	78259.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/10M-12        	    1168	   1017420 ns/op	78630.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/10M-12        	    1192	   1024629 ns/op	78077.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/10M-12        	    1195	   1019605 ns/op	78461.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/10M-12        	    1185	   1018157 ns/op	78573.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/10M-12        	    1142	   1012476 ns/op	79014.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/10M-12        	    1197	   1020459 ns/op	78396.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/10M-12        	    1166	   1008953 ns/op	79290.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/10M-12        	     422	   2782694 ns/op	28749.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/10M-12        	     432	   2771419 ns/op	28866.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/10M-12        	     426	   2774039 ns/op	28838.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/10M-12        	     434	   2774211 ns/op	28837.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/10M-12        	     428	   2785032 ns/op	28724.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/10M-12        	     433	   2786918 ns/op	28705.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/10M-12        	     435	   2752828 ns/op	29061.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/10M-12        	     432	   2765406 ns/op	28928.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/10M-12        	     435	   2748840 ns/op	29103.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/10M-12        	     434	   2759763 ns/op	28988.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/10M-12        	     434	   2769429 ns/op	28886.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/10M-12        	     433	   2763490 ns/op	28948.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/10M-12        	     434	   2763188 ns/op	28952.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/10M-12        	     434	   2782919 ns/op	28746.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/10M-12        	     433	   2764828 ns/op	28934.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/10M-12        	     427	   2786079 ns/op	28714.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/10M-12        	     432	   2796458 ns/op	28607.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/10M-12        	     429	   2792037 ns/op	28652.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/10M-12        	     432	   2768210 ns/op	28899.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/10M-12        	     430	   2767546 ns/op	28906.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/10M-12     	     385	   3059703 ns/op	26146.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/10M-12     	     381	   3110390 ns/op	25720.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/10M-12     	     387	   3071145 ns/op	26048.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/10M-12     	     390	   3091850 ns/op	25874.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/10M-12     	     386	   3074949 ns/op	26016.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/10M-12     	     391	   3049476 ns/op	26234.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/10M-12     	     386	   3091679 ns/op	25875.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/10M-12     	     385	   3181204 ns/op	25147.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/10M-12     	     380	   3105920 ns/op	25757.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/10M-12     	     387	   3152560 ns/op	25376.20 MB/s	       0 B/op	       0 allocs/op
PASS
ok  	github.com/h0rn3t/gopolars/pkg/simd	96.142s
