goos: darwin
goarch: arm64
pkg: github.com/h0rn3t/gopolars/pkg/simd
cpu: Apple M4 Pro
BenchmarkReductions/Sum/1M-12         	    1819	    634784 ns/op	12602.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/1M-12         	    1891	    632723 ns/op	12643.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/1M-12         	    1903	    630467 ns/op	12689.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/1M-12         	    1912	    630451 ns/op	12689.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/1M-12         	    1903	    640636 ns/op	12487.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/1M-12         	    1874	    634912 ns/op	12600.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/1M-12         	    1849	    633098 ns/op	12636.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/1M-12         	    1914	    631565 ns/op	12666.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/1M-12         	    1903	    630423 ns/op	12689.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Sum/1M-12         	    1896	    630985 ns/op	12678.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/1M-12         	    1194	   1008867 ns/op	7929.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/1M-12         	    1183	   1013906 ns/op	7890.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/1M-12         	    1183	   1012737 ns/op	7899.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/1M-12         	    1180	   1007192 ns/op	7942.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/1M-12         	    1192	   1009021 ns/op	7928.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/1M-12         	    1192	   1008688 ns/op	7931.10 MB/s	       0 B/op	       0 allocs/op
