object,operation,size,go_ns_per_op,python_ms_per_op,ratio,status
DataFrame,filter,1K,92625,0.107529,1.1609,ok
DataFrame,filter,1K,7584,0.061233,8.0740,slow
DataFrame,filter,1K,5829,0.062629,10.7444,slow
DataFrame,filter,1K,5307,0.065133,12.2731,slow
DataFrame,filter,1M,3521916,0.583413,0.1657,ok
DataFrame,filter,1M,2562555,0.541687,0.2114,ok
DataFrame,filter,1M,2178192,0.576421,0.2646,ok
DataFrame,select,1K,78041,0.050158,0.6427,ok
DataFrame,select,1K,1440,0.048133,33.4260,slow
DataFrame,select,1K,596,0.035092,58.8787,slow
DataFrame,select,1K,495,0.031196,63.0218,slow
DataFrame,select,1K,493,0.051354,104.1665,slow
DataFrame,select,1M,51708,0.034242,0.6622,ok
DataFrame,select,1M,1433,0.034721,24.2294,slow
DataFrame,select,1M,561,0.030275,53.9661,slow
DataFrame,select,1M,459,0.031808,69.2993,slow
DataFrame,select,1M,483,0.038633,79.9861,slow
DataFrame,with_columns,1K,43000,0.008571,0.1993,ok
DataFrame,with_columns,1K,1510,0.008008,5.3035,slow
DataFrame,with_columns,1K,603,0.008133,13.4881,slow
DataFrame,with_columns,1K,491,0.008308,16.9212,slow
DataFrame,with_columns,1K,488,0.008063,16.5215,slow
DataFrame,with_columns,1M,37041,0.008563,0.2312,ok
DataFrame,with_columns,1M,1262,0.008046,6.3754,slow
DataFrame,with_columns,1M,523,0.008546,16.3400,slow
DataFrame,with_columns,1M,460,0.007971,17.3280,slow
DataFrame,with_columns,1M,433,0.008004,18.4855,slow
DataFrame,sort,1K,108291,0.183546,1.6949,ok
DataFrame,sort,1K,28096,0.170796,6.0790,slow
DataFrame,sort,1K,21009,0.159550,7.5944,slow
DataFrame,sort,1K,21214,0.183833,8.6657,slow
DataFrame,sort,1M,19772500,11.572371,0.5853,ok
DataFrame,sort,1M,18405983,11.358167,0.6171,ok
DataFrame,group_by,1K,107250,0.739458,6.8947,slow
DataFrame,group_by,1K,17630,0.636812,36.1210,slow
DataFrame,group_by,1K,14017,0.602237,42.9648,slow
DataFrame,group_by,1K,13819,0.584550,42.3005,slow
DataFrame,group_by,1M,1826750,1.545954,0.8463,ok
DataFrame,group_by,1M,1519726,1.671721,1.1000,ok
DataFrame,group_by,1M,1530745,1.654912,1.0811,ok
DataFrame,join,1K,220833,0.450563,2.0403,slow
DataFrame,join,1K,97640,0.391496,4.0096,slow
DataFrame,join,1K,89640,0.335096,3.7382,slow
DataFrame,join,1K,88009,0.362000,4.1132,slow
DataFrame,join,1M,33362667,6.527700,0.1957,ok
DataFrame,join,1M,26003762,6.436188,0.2475,ok
DataFrame,join,1M,25888697,5.470721,0.2113,ok
DataFrame,head,1K,32417,0.000625,0.0193,ok
DataFrame,head,1K,3404,0.000587,0.1726,ok
DataFrame,head,1K,1448,0.000600,0.4144,ok
DataFrame,head,1K,1217,0.000562,0.4622,ok
DataFrame,head,1M,1058792,0.000588,0.0006,ok
DataFrame,head,1M,12565,0.000583,0.0464,ok
DataFrame,head,1M,1338,0.000779,0.5824,ok
DataFrame,head,1M,899,0.000796,0.8853,ok
DataFrame,head,1M,903,0.000717,0.7936,ok
DataFrame,tail,1K,49000,0.000600,0.0122,ok
DataFrame,tail,1K,3724,0.000687,0.1846,ok
DataFrame,tail,1K,1467,0.000571,0.3892,ok
DataFrame,tail,1K,1362,0.000579,0.4253,ok
DataFrame,tail,1M,1046208,0.000575,0.0005,ok
DataFrame,tail,1M,13283,0.000600,0.0452,ok
DataFrame,tail,1M,1514,0.000588,0.3880,ok
DataFrame,tail,1M,1002,0.000587,0.5863,ok
DataFrame,tail,1M,1009,0.000579,0.5740,ok
DataFrame,unique,1K,53750,0.196242,3.6510,slow
DataFrame,unique,1K,12877,0.160204,12.4411,slow
DataFrame,unique,1K,9782,0.232504,23.7686,slow
DataFrame,unique,1K,9364,0.161962,17.2963,slow
DataFrame,unique,1M,17392917,4.755987,0.2734,ok
DataFrame,unique,1M,16132359,5.161533,0.3199,ok
DataFrame,fill_null,1K,56250,0.145392,2.5847,slow
DataFrame,fill_null,1K,3262,0.124921,38.2958,slow
DataFrame,fill_null,1K,1925,0.149100,77.4545,slow
DataFrame,fill_null,1K,1873,0.143996,76.8798,slow
DataFrame,fill_null,1M,2804000,0.296729,0.1058,ok
DataFrame,fill_null,1M,1250037,0.338975,0.2712,ok
DataFrame,fill_null,1M,1195289,0.313996,0.2627,ok
DataFrame,drop_nulls,1K,24500,0.076104,3.1063,slow
DataFrame,drop_nulls,1K,1219,0.053692,44.0456,slow
DataFrame,drop_nulls,1K,919,0.127283,138.5020,slow
DataFrame,drop_nulls,1K,734,0.088350,120.3678,slow
DataFrame,drop_nulls,1K,742,0.095983,129.3575,slow
DataFrame,drop_nulls,1M,1123917,1.324137,1.1781,ok
DataFrame,drop_nulls,1M,953052,1.317225,1.3821,ok
DataFrame,drop_nulls,1M,925150,1.566117,1.6928,ok
Expr,cum_sum,1K,31125,0.012367,0.3973,ok
Expr,cum_sum,1K,5012,0.012433,2.4807,slow
Expr,cum_sum,1K,2272,0.012471,5.4889,slow
Expr,cum_sum,1K,2174,0.012017,5.5275,slow
Expr,cum_sum,1M,1345042,2.441883,1.8155,ok
Expr,cum_sum,1M,923607,2.353625,2.5483,slow
Expr,cum_sum,1M,884992,2.332079,2.6351,slow
Expr,rank,1K,83958,0.050037,0.5960,ok
Expr,rank,1K,22912,0.076058,3.3196,slow
Expr,rank,1K,16285,0.055154,3.3868,slow
Expr,rank,1K,16526,0.058092,3.5152,slow
Expr,rank,1M,21853417,12.803717,0.5859,ok
Expr,rank,1M,19943864,14.784754,0.7413,ok
Expr,over,1K,60583,0.255808,4.2224,slow
Expr,over,1K,20437,0.261988,12.8193,slow
Expr,over,1K,14232,0.223733,15.7204,slow
Expr,over,1K,13658,0.366267,26.8170,slow
Expr,over,1M,19932875,8.000404,0.4014,ok
Expr,over,1M,18113134,6.923258,0.3822,ok
Expr,fill_null,1K,33917,0.040225,1.1860,ok
Expr,fill_null,1K,3946,0.037750,9.5666,slow
Expr,fill_null,1K,2400,0.052733,21.9722,slow
Expr,fill_null,1K,2288,0.048467,21.1830,slow
Expr,fill_null,1M,1721791,0.215600,0.1252,ok
Expr,fill_null,1M,1243241,0.217700,0.1751,ok
Expr,fill_null,1M,1123241,0.213079,0.1897,ok
Expr,fill_nan,1K,38000,0.072333,1.9035,ok
Expr,fill_nan,1K,4250,0.073088,17.1971,slow
Expr,fill_nan,1K,2423,0.076388,31.5260,slow
Expr,fill_nan,1K,2308,0.076142,32.9903,slow
Expr,fill_nan,1M,1717666,0.364229,0.2120,ok
Expr,fill_nan,1M,1317393,0.363829,0.2762,ok
Expr,fill_nan,1M,1271524,0.375708,0.2955,ok
Expr,rolling_mean,1K,53333,0.016967,0.3181,ok
Expr,rolling_mean,1K,8278,0.017596,2.1256,slow
Expr,rolling_mean,1K,5946,0.017529,2.9481,slow
Expr,rolling_mean,1K,5934,0.017867,3.0109,slow
Expr,rolling_mean,1M,6184917,8.420179,1.3614,ok
Expr,rolling_mean,1M,5189331,8.399567,1.6186,ok
Expr,rolling_mean,1M,5148977,8.537508,1.6581,ok
Expr,rolling_sum,1K,48958,0.016288,0.3327,ok
Expr,rolling_sum,1K,7634,0.017850,2.3382,slow
Expr,rolling_sum,1K,6139,0.017829,2.9043,slow
Expr,rolling_sum,1K,5944,0.017829,2.9995,slow
Expr,rolling_sum,1M,6040459,8.317329,1.3769,ok
